Respondent_ID,Age,Current_Status,Field_Of_Study_Work,AI_Impact_On_Field,AI_Usage_During_College,Most_Used_AI_Tools_College,Purpose_Of_AI_College,AI_Helpfulness_Academic_Tasks,AI_Dependence_College,AI_Creativity_Productivity_Boost,AI_Influence_Career_Choice,AI_Job_Opportunity_Increase,Job_Preference_AI_Reliance,AI_Job_Reduction_Perception,Readiness_For_AI_Industry,Willingness_To_Learn_AI,Workplace_AI_Adoption,AI_Work_Efficiency_Increase,AI_Replacing_Human_Work,View_On_AI_In_Workplace,Need_To_Upskill_AI,Job_Survival_Next_10_Years
63,24,"Fresh Graduate","Economics & Management","Yes, but only partially",Sometimes,"ChatGPT","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
64,48,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, but still limited","4","No","Optimistic - AI aids productivity","Yes","Yes"
65,20,Student,"Other: Communications","Yes, but only partially",Sometimes,"ChatGPT, Google Bard / Gemini","Helping understand material, Designing or creating content",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
66,30,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
67,25,"Fresh Graduate","Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium, Microsoft Copilot","Coding/programming, Doing assignments, Searching academic references",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
68,42,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","No"
69,21,Student,"Economics & Management","Yes, but only partially",Rarely,"ChatGPT","Helping understand material",2,No,2,"No, AI has no influence on my career choice",2,"No preference, as long as it aligns with my skills","No","2","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
70,36,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, very active","4","No","Optimistic - AI aids productivity","Yes","Yes"
71,18,Student,"Other: Environmental Science","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
72,26,"Fresh Graduate","Healthcare","Yes, but only partially",Sometimes,"ChatGPT","Searching academic references",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
73,39,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
74,20,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
75,31,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","Yes","Yes"
76,23,"Fresh Graduate","Industrial Engineering / Information Systems","Yes, significantly impacted",Very often,"ChatGPT, Microsoft Copilot","Doing assignments, Helping understand material",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
77,34,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
78,19,Student,"Information Technology / Computer Science","Yes, significantly impacted",Often,"Google Bard / Gemini, Github Copilot / Codeium","Coding/programming, Helping understand material",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
79,40,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","No"
80,22,"Fresh Graduate","Economics & Management","Yes, but only partially",Rarely,"ChatGPT","Searching academic references",2,No,2,"No, AI has no influence on my career choice",2,"No preference, as long as it aligns with my skills","No","2","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
81,38,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
82,24,Student,"Industrial Engineering / Information Systems","Yes, significantly impacted",Sometimes,"ChatGPT, Microsoft Copilot","Helping understand material, Doing assignments",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
83,45,"Professional / Already working","Healthcare","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
84,20,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
85,27,"Fresh Graduate","Other: Data Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium, Google Bard / Gemini","Coding/programming, Helping understand material, Searching academic references",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
86,30,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","Yes","Yes"
87,21,Student,"Information Technology / Computer Science","Yes, significantly impacted",Often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
88,33,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
89,25,"Fresh Graduate","Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
90,35,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, very active","4","No","Optimistic - AI aids productivity","Yes","Yes"
91,19,Student,"Economics & Management","Yes, but only partially",Sometimes,"ChatGPT","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
92,41,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
93,23,"Fresh Graduate","Other: Graphic Design","Yes, significantly impacted",Often,"Midjourney, ChatGPT","Designing or creating content",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
94,46,"Professional / Already working","Healthcare","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
95,20,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
96,28,"Fresh Graduate","Industrial Engineering / Information Systems","Yes, significantly impacted",Often,"Microsoft Copilot, ChatGPT","Doing assignments, Helping understand material",4,Yes,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
97,30,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","Yes","Yes"
98,22,Student,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
99,37,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
100,24,"Fresh Graduate","Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
